country_date_id,majority,population
177326,NV,0.00
28593,V,86.61
153853,NV,3.26
96598,NV,0.00
51415,V,53.57
2262,NV,0.00
149638,NV,31.05
23454,NV,0.00
20463,NV,0.00
33998,NV,0.00
26324,V,54.46
4176,NV,44.29
89114,V,81.21
76290,V,60.96
32452,V,64.57
134522,NV,0.00
70142,V,55.44
39320,NV,0.00
9797,NV,0.00
99569,V,77.79
27399,V,97.11
190615,V,57.43
184593,NV,38.17
182777,NV,0.00
221,NV,0.00
171924,NV,12.94
159715,NV,0.00
19015,NV,40.08
146648,V,82.31
47022,V,75.13
25956,NV,25.19
31407,V,75.61
39686,NV,0.00
12401,V,75.88
118718,NV,0.00
174003,NV,50.00
172547,NV,0.10
122579,NV,22.84
