country_date_id,cases,death
138241,3517260,210672
87609,838217,6359
187618,238596,1637
15397,1264328,20916
52038,131283,3527
166637,2498388,18689
127125,1036,67
118364,93508,713
101619,1098034,10408
111646,475355,8394
44011,1107708,8529
32715,3949259,13891
98034,96017,1675
61941,30216647,146213
23126,15762,138
175675,1657,3
149094,74588,681
132772,598813,8179
162828,2096,29
43628,275608,1843
84959,7545351,144358
6125,417,7
17138,38458,136
162713,10,1
3271,123,5
110723,53,0
65420,963,15
170847,7415,193
111303,3,1
17418,169254,617
102732,7505,294
41264,11203,109
78074,232907,5071
100387,55018,104
81925,43,0
14541,20611,366
9195,1267630,16799
89112,19985479,169735
58686,487430,7530
8673,21862,870
184215,2435404,58146
12344,1484712,26321
176023,22830,130
34980,0,0
48528,18,0
22054,61918,678
83951,1672319,8043
7110,5395044,116930
163336,51406,1183
27124,8980,64
2946,98855,1900
49591,13173,611
91044,1553758,13629
131321,8411,236
32782,4103959,14009
30452,14649,113
1832,159070,7386
97433,3098,13
30727,0,0
149931,18268570,374444
85502,1065199,15465
16704,1136604,36498
134601,93475,846
182095,1367,50
153716,43128,1166
134021,13143,43
113493,6340,221
187387,167268,1179
30240,0,0
12212,1092477,25196
148483,1080860,33898
111567,320962,5256
45381,19891,395
179442,0,0
163221,28228,707
133211,993459,11989
126729,157503,4014
82308,11787534,160692
70127,557239,13351
38259,611,20
129120,0,0
22533,222,9
5751,426397,1395
74617,73,7
72373,11971,21
103954,7,0
165084,115327,2595
67360,170894,1460
8968,636019,12838
134826,193253,2010
112839,2547,33
107773,522351,7384
194695,208353,3637
126151,6431,59
9798,40931,600
30094,5682,75
142009,78805,1555
36165,8681,212
194631,184672,3052
11019,2420,3
5812,537524,1615
95021,106636,1842
84085,107603,6640
136508,2100,55
132592,250180,1730
138150,2236351,201176
114134,464234,10755
28184,2601,3
122912,337,10
16579,692376,28325
4518,1681,53
90432,1128,9
51992,120562,3190
150428,14784,188
15447,1547176,27313
1467,54939,2399
8311,7778643,9332
177569,4570,76
160913,371216,3730
55918,253908,28403
123905,17,2
135524,66457,1395
7522,6989,98
17110,25267,78
81483,4241809,143299
57084,4171,71
1852,166924,7442
194537,90389,1229
15055,321615,4412
148577,1265827,37544
24755,10205663,247431
