country_date_id,E1_Income support,E1_Flag,E2_Debt/contract relief,E3_Fiscal measures,E4_International support
93674,1,1,1,0.00,0.00
54453,1,1,0,,
30192,0,,0,0.00,0.00
23705,1,1,2,0.00,0.00
43020,0,,0,,
35212,1,1,2,0.00,0.00
142235,1,1,0,,
129547,0,,0,0.00,0.00
81220,1,0,1,0.00,0.00
24857,1,0,0,0.00,0.00
7887,0,,0,0.00,0.00
148162,2,0,2,0.00,0.00
92140,0,,0,0.00,0.00
8048,0,,0,,
64972,0,,1,,
7173,2,1,0,,
140828,1,0,1,0.00,0.00
118215,2,0,1,,
128115,1,0,0,0.00,0.00
29585,0,,0,,
3754,1,1,1,0.00,0.00
96487,1,0,0,,
46346,2,0,1,0.00,0.00
134733,2,1,1,0.00,0.00
136061,0,,2,,
101619,1,1,1,,
64810,2,1,2,,
139501,1,1,1,,
115335,0,,0,,
154970,2,1,2,,
148461,2,0,2,0.00,0.00
21233,1,1,0,0.00,0.00
153126,0,,0,,
137263,1,1,0,,
5679,0,,2,,0.00
144612,0,,0,,
11385,0,,0,,
121926,0,,1,0.00,0.00
70431,2,1,2,,
72451,0,,0,0.00,0.00
123879,0,,0,0.00,0.00
112523,2,1,0,0.00,0.00
96945,0,,0,0.00,0.00
61241,2,1,1,0.00,0.00
112834,2,0,0,0.00,0.00
55238,0,,0,0.00,0.00
50634,1,1,0,0.00,0.00
154469,2,1,2,0.00,0.00
69463,0,,0,,
57874,0,,0,0.00,0.00
44415,2,1,2,0.00,0.00
51186,0,,0,,
10764,0,,0,0.00,0.00
71606,2,0,0,0.00,0.00
137724,1,1,2,0.00,0.00
126761,0,,0,,
119316,1,0,2,,
75060,1,1,1,,
122353,0,,0,,
73375,1,0,,,
23492,1,1,0,0.00,0.00
35112,1,1,1,0.00,0.00
152949,0,,0,,
26835,0,,2,0.00,0.00
72029,2,0,0,,
2274,1,1,2,0.00,0.00
27926,1,1,2,0.00,0.00
93192,0,,0,,
42540,0,,1,0.00,0.00
37750,1,1,2,,
109877,1,1,1,,
13644,0,,0,,
112520,2,1,0,0.00,0.00
15336,0,,0,0.00,0.00
108588,1,0,2,0.00,0.00
37520,0,,0,0.00,
18259,1,1,0,0.00,0.00
47045,1,1,2,,
35947,1,1,0,,
140354,1,1,2,,
110221,0,,0,0.00,0.00
102140,0,,0,0.00,0.00
98090,1,1,1,0.00,0.00
119717,0,,2,0.00,0.00
119145,1,1,2,,
110251,1,1,2,0.00,0.00
122790,0,,0,0.00,0.00
50827,1,1,0,0.00,0.00
119714,0,,2,0.00,0.00
20439,0,,0,0.00,0.00
55117,0,,2,0.00,0.00
123855,0,,0,0.00,0.00
138846,1,1,2,0.00,0.00
127192,0,,2,0.00,0.00
72075,0,,0,,
83766,2,1,2,,
